"","ctl-treatA_Left","ctl-treatA_Right","ctl-treatA_Middle","ctl-treatA_Sides","ctl-treatA_MaxVal","ctl-treatA_MaxTime","ctl-treatB_Left","ctl-treatB_Right","ctl-treatB_Middle","ctl-treatB_Sides","ctl-treatB_MaxVal","ctl-treatB_MaxTime","treatA-treatB_Left","treatA-treatB_Right","treatA-treatB_Middle","treatA-treatB_Sides","treatA-treatB_MaxVal","treatA-treatB_MaxTime"
"MAL11/13_5.8S:rRNA",-0.772881091484261,-2.24226001023583,-2.87585267497452,-0.139288426745562,-2.87585267497452,"Mid",-0.0353722205311362,-0.169193943125209,-1.09502775488927,0.890461591232921,-1.09502775488927,"Mid",0.737508870953124,2.07306606711062,1.78082492008526,1.02975001797848,2.07306606711062,"Right"
"MAL1_5.8S:rRNA",-0.779211198823033,-2.21167767267985,-2.88042337520115,-0.110465496301733,-2.88042337520115,"Mid",0.0420607400753839,-0.127588272351537,-1.05011329430116,0.964585762025001,-1.05011329430116,"Mid",0.821271938898417,2.08408940032831,1.8303100809,1.07505125832673,2.08408940032831,"Right"
"MAL5/7_5.8S:rRNA",-0.965819870819794,-2.30897652262524,-3.0312245917859,-0.243571801659136,-3.0312245917859,"Mid",-0.213971940832577,-0.459422541401605,-1.28772500302267,0.614330520788492,-1.28772500302267,"Mid",0.751847929987218,1.84955398122363,1.74349958876322,0.857902322447629,1.84955398122363,"Right"
"MAL8a_5.8S:rRNA",-0.716031201419132,-2.16795419291373,-2.86298763035245,-0.0209977639804145,-2.86298763035245,"Mid",-0.205710131768059,-0.147698415917866,-1.28904554831028,0.935637000624353,-1.28904554831028,"Mid",0.510321069651073,2.02025577699586,1.57394208204217,0.956634764604767,2.02025577699586,"Right"
"mal_mito_1:mRNA",0.791172991971023,-0.52350436363266,-0.472922106359416,0.740590734697778,0.791172991971023,"Left",0.949267552897961,0.249383913069929,0.355368459827656,0.843283006140234,0.949267552897961,"Left",0.158094560926938,0.772888276702588,0.828290566187072,0.102692271442456,0.828290566187072,"Mid"
"mal_mito_2:mRNA",0.448829260403509,-0.905670603457908,-0.80225743222593,0.345416089171531,-0.905670603457908,"Right",0.464664446428492,-0.186987450428913,-0.0383103648951314,0.31598736089471,0.464664446428492,"Left",0.0158351860249829,0.718683153028994,0.763947067330798,-0.0294287282768212,0.763947067330798,"Mid"
"mal_mito_3:mRNA",0.451465149036228,-0.749723741910856,-0.753924213579998,0.455665620705369,-0.753924213579998,"Mid",0.62492412077623,0.0709336575305299,0.144525746396285,0.551332031910475,0.62492412077623,"Left",0.173458971740003,0.820657399441386,0.898449959976283,0.0956664112051055,0.898449959976283,"Mid"
"malmito_rna_10:rRNA",-0.25928837988029,-1.31163504038818,-1.44274329514115,-0.128180125127315,-1.44274329514115,"Mid",0.855038436080856,-0.0655637176358458,-0.0586303373946318,0.848105055839642,0.855038436080856,"Left",1.11432681596115,1.24607132275233,1.38411295774652,0.976285180966957,1.38411295774652,"Mid"
"malmito_rna_1:rRNA",-0.107012052028799,-1.30958955956643,-1.43493966021899,0.0183380486237614,-1.43493966021899,"Mid",0.650696486981775,-0.136062548983107,-0.162199329451313,0.67683326744998,0.67683326744998,"Sides",0.757708539010573,1.17352701058332,1.27274033076767,0.658495218826219,1.27274033076767,"Mid"
"malmito_rna_LSUF:rRNA",0.185834634385386,-1.18811028205919,-1.3018926853737,0.299617037699901,-1.3018926853737,"Mid",0.627085929435668,0.0345926249685923,-0.081755989517331,0.743434543921591,0.743434543921591,"Sides",0.441251295050281,1.22270290702778,1.22013669585637,0.44381750622169,1.22270290702778,"Right"
"malmito_rna_LSUG:rRNA",0.0249805872609964,-1.40691780012332,-1.39809425101351,0.01615703815118,-1.40691780012332,"Right",0.515448859459649,-0.286282510746214,-0.201436290220306,0.430602638933741,0.515448859459649,"Left",0.490468272198653,1.12063528937711,1.1966579607932,0.41444560078256,1.1966579607932,"Mid"
