"","ctl-treatA_MaxVal","ctl-treatB_MaxVal","treatA-treatB_MaxVal","ctl-treatA_MaxTime","ctl-treatB_MaxTime","treatA-treatB_MaxTime"
"PF3D7_0102100",-1.04336737862232,-0.628103051670012,0.761685382858048,"ring","ring","ring"
"PF3D7_0102200",-1.14842225052791,-0.324156543008871,0.899419125809788,"ring","ring","ring-ring"
"PF3D7_0102300",-0.558015859742875,0.437951137208368,0.679452022658661,"ring-ring","ring","ring"
"PF3D7_0102400",0.449891378766016,0.326459863649828,0.638507257382498,"ring-ring","ring","ring"
"PF3D7_0102500",-0.600961773911772,-0.296488526772137,0.304473247139635,"ring","ring","ring"
"PF3D7_0102600",-0.482816441206444,-0.414263695258232,0.482502626107225,"ring","ring","ring"
"PF3D7_0102700",-0.346913810462808,0.324486910896221,0.610057417644488,"ring","ring","ring"
"PF3D7_0102800",-0.252692243668435,0.384222174773277,0.45354854431163,"ring","ring","ring"
"PF3D7_0102900",0.222551164741255,0.182778297332431,0.192075717079641,"ring","ring","ring"
"PF3D7_0103000",-0.699689053495438,0.251969771377886,0.701628850090161,"ring","ring-ring","ring"
"PF3D7_0103100",-0.405548489504306,0.109611732626089,0.415498373275217,"ring","ring","ring"
"PF3D7_0103200",-0.0831185146608602,0.236476176035462,0.279374945445497,"ring","ring","ring"
"PF3D7_0103300",0.569042657024811,0.422690906629404,-0.146351750395406,"ring","ring","ring"
"PF3D7_0103400",0.505568304326966,0.266765627371395,-0.250474873331439,"ring","ring","ring"
"PF3D7_0103500",-0.101818812672459,-0.217270456661122,-0.154212276381041,"ring","ring","ring"
"PF3D7_0103600",-0.302603051170255,-0.857535454260837,-0.862521012890425,"ring","ring","ring"
"PF3D7_0103700",0.540883724361776,0.347979382393241,-0.407861737212142,"ring","ring","ring"
"PF3D7_0103800",-0.440637895813963,0.116328359295486,0.556966255109449,"ring","ring","ring"
"PF3D7_0103900",0.584884212559957,0.347564345987051,-0.330627303220683,"ring","ring","ring"
"PF3D7_0104000",0.137133194681897,-0.0870920406711309,-0.224225235353028,"ring-ring","ring-ring","ring-ring"
"PF3D7_0104100",-0.239846802676122,0.0849939281305111,0.27307638721557,"ring-ring","ring","ring"
"PF3D7_0104200",0.431377766836589,0.353772178366978,-0.165451767991749,"ring","ring","ring-ring"
"PF3D7_0104300",-0.342176922057941,-0.596625842643765,-0.366717058151101,"ring","ring","ring"
"PF3D7_0104400",0.0953667829061778,0.0609730199803552,-0.125021835071194,"ring","ring","ring"
"PF3D7_0104500",0.157437606981264,-0.140282582409263,-0.246633437363781,"ring-ring","ring","ring"
"PF3D7_0104600",0.46980421639034,-0.40223471332171,-0.74485869548681,"ring","ring","ring"
"PF3D7_0104700",-0.550896081277143,0.540182273273083,0.867862490855159,"ring","ring","ring"
"PF3D7_0104800",-0.302125878402834,0.494633042884159,0.705078200462974,"ring","ring","ring"
"PF3D7_0105000",-2.78327440032214,-2.38444046045588,0.566535232194916,"ring","ring","ring"
"PF3D7_0105100",-0.821376050080011,-1.43939158806626,-1.08910028294706,"ring-ring","ring","ring"
"PF3D7_0105200",0.412814509137539,0.288309633951094,-0.124504875186445,"ring","ring","ring"
"PF3D7_0105300",-0.721840988906219,-0.104573544718504,0.700907214002328,"ring","ring","ring"
"PF3D7_0105400",-0.346307699092695,-0.17579630290025,0.419390210464491,"ring","ring-ring","ring"
"PF3D7_0105500",-0.931271923097456,-0.36770559764193,0.563566325455527,"ring","ring","ring"
"PF3D7_0105600",0.488860577130505,0.273807057329992,-0.215053519800513,"ring","ring","ring"
"PF3D7_0105700",-0.295725355816342,-0.128871549628424,0.169284504061192,"ring","ring","ring"
"PF3D7_0105800",-0.186455162479102,-0.251272714493467,0.0680289846426079,"ring-ring","ring-ring","ring"
"PF3D7_0105900",0.343367250412881,0.443168624142816,0.128352383842007,"ring","ring","ring"
"PF3D7_0106000",-0.286703703661336,0.433772044895099,0.496418950520746,"ring","ring","ring"
"PF3D7_0106100",0.144821955443657,-0.366403631778545,-0.386886042034774,"ring-ring","ring","ring"
"PF3D7_0106200",-0.514119567757243,0.682430134993312,1.06097063403267,"ring","ring","ring"
"PF3D7_0106300",0.36173601865838,0.300129819943125,-0.0740375901759362,"ring","ring","ring"
"PF3D7_0106400",0.658800020468196,0.20860438678478,-0.482466021088856,"ring","ring","ring"
"PF3D7_0106500",-0.943610396097763,-1.03670056544637,-0.509372241945463,"ring","ring","ring"
"PF3D7_0106600",0.450516656414032,-0.324391742531035,-0.635933478173608,"ring","ring-ring","ring"
"PF3D7_0106700",-0.183315502209113,-0.130730044200211,-0.178675061635848,"ring-ring","ring-ring","ring"
"PF3D7_0106800",-0.381832792910728,0.242971888296563,0.547136190750415,"ring","ring","ring"
"PF3D7_0106900",-0.216458056150864,-1.00724351532953,-0.804782791305027,"ring","ring","ring"
"PF3D7_0107000",-0.380811632306094,0.227647706872462,0.564222564580021,"ring","ring","ring"
"PF3D7_0107100",-0.159769300922637,-0.0613324004761807,0.162870683907581,"ring-ring","ring","ring-ring"
"PF3D7_0107200",-0.179324010091216,0.216470546106733,0.39579455619795,"ring","ring","ring"
"PF3D7_0107300",-0.482423363143276,-0.180833569102834,0.32148924611691,"ring","ring","ring"
"PF3D7_0107400",-0.458235152531238,0.372053544347953,0.756291431968822,"ring","ring","ring"
"PF3D7_0107500",0.667583667595396,0.301695675984486,-0.36588799161091,"ring","ring","ring"
"PF3D7_0107600",-1.80233195423906,-1.26562588622132,-1.00006791537071,"ring","ring","ring"
"PF3D7_0107700",-0.151053256915871,0.162105067122957,0.178548452914317,"ring","ring","ring"
"PF3D7_0107800",0.332820886748223,-0.22106433388731,-0.514612101209273,"ring","ring","ring"
"PF3D7_0107900",0.216924202915983,-0.293243783951846,-0.103911402068058,"ring","ring","ring-ring"
"PF3D7_0108000",0.3333118367018,-0.193387392559883,-0.429505875245922,"ring-ring","ring","ring-ring"
"PF3D7_0108100",0.813680702640946,-0.141178585671711,-0.782857581826718,"ring","ring","ring"
"PF3D7_0108300",0.190920112468298,-0.525503726726067,-0.617825342520089,"ring","ring","ring"
"PF3D7_0108400",-0.18757270639953,0.281093785443364,0.391354239507756,"ring-ring","ring","ring"
"PF3D7_0108500",-0.503036473865025,-0.349708454096891,0.362649261689442,"ring-ring","ring","ring-ring"
"PF3D7_0108600",-0.334204963813972,-0.220613953727217,0.318134456920141,"ring-ring","ring","ring"
